#version,serial,flight,call,time,rssi,lqi,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop
6, 2363, 0,KQ4YGQ,     5.99, -33,  17,   -0.00, 101666.00,  -28.35,    3.82,    0.19, 30.9, 0.00, 0.00, 3.77,   9.88,  -0.08,   0.90,   1.34,  -1.04,  -0.12,   1.00,   0.55,   1.14,  98.00, 3.79, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     5.99, -36,   8,   -0.00, 101666.00,  -28.35,    3.82,    0.19, 30.9, 0.00, 0.00, 3.77,   9.88,  -0.08,   0.90,   1.34,  -1.04,  -0.12,   1.00,   0.55,   1.14,  98.00, 3.79, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     6.75, -37,   8,   -0.00, 101657.00,  -27.60,    4.57,   -0.31, 30.9, 0.00, 0.00, 3.77,   9.80,  -0.12,   0.93,   1.40,  -4.09,   0.00,   1.00,   0.53,   1.14,  98.00, 3.79, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     6.83, -35,   8,   -0.00, 101657.00,  -27.60,    4.57,   -0.31, 30.9, 0.00, 0.00, 3.78,   9.80,  -0.12,   0.93,   1.40,  -4.09,   0.00,   1.00,   0.53,   1.14,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     7.00, -25,   9,   -0.00, 101657.00,  -27.60,    4.57,   -0.31, 30.9, 0.00, 0.00, 3.78,   9.80,  -0.12,   0.93,   1.40,  -4.09,   0.00,   1.00,   0.53,   1.14,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     7.00, -25,   9,   -0.00, 101657.00,  -27.60,    4.57,   -0.31, 30.9, 0.00, 0.00, 3.78,   9.80,  -0.12,   0.93,   1.40,  -4.09,   0.00,   1.00,   0.53,   1.14,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     7.75, -24,  10,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.78,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     7.83, -27,   8,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.77,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.95, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     8.00, -37,  10,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.77,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.95, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     8.00, -34,   8,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.77,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.95, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     8.88, -46,   7,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.78,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     9.00, -56,  10,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.78,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     9.00, -59,   8,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.78,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     9.00, -39,   8,   -0.00, 101668.00,  -28.51,    3.65,    0.54, 30.9, 0.00, 0.00, 3.78,   9.73,   0.00,   0.89,   1.46,   3.60,   0.12,   0.99,   0.54,   1.15,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     9.80, -57,   8,   -0.00, 101652.00,  -27.18,    4.98,    0.05, 30.9, 0.00, 0.00, 3.78,   9.90,  -0.11,   0.97,   1.46,  -1.65,  -0.12,   1.00,   0.55,   1.15,  98.00, 3.78, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,     9.88, -48,   7,   -0.00, 101652.00,  -27.18,    4.98,    0.05, 30.9, 0.00, 0.00, 3.77,   9.90,  -0.11,   0.97,   1.46,  -1.65,  -0.12,   1.00,   0.55,   1.15,  98.00, 3.77, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,    10.00, -38,   9,   -0.00, 101652.00,  -27.18,    4.98,    0.05, 30.9, 0.00, 0.00, 3.77,   9.90,  -0.11,   0.97,   1.46,  -1.65,  -0.12,   1.00,   0.55,   1.15,  98.00, 3.77, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,    10.00, -37,  12,   -0.00, 101652.00,  -27.18,    4.98,    0.05, 30.9, 0.00, 0.00, 3.77,   9.90,  -0.11,   0.97,   1.46,  -1.65,  -0.12,   1.00,   0.55,   1.15,  98.00, 3.77, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
6, 2363, 0,KQ4YGQ,    12.00, -37,  10,   -0.00, 101652.00,  -27.18,    4.98,    0.05, 30.9, 0.00, 0.00, 3.77,   9.90,  -0.11,   0.97,   1.46,  -1.65,  -0.12,   1.00,   0.55,   1.15,  98.00, 3.77, 0.00, 0.00, 0.00, 0.00, 1, 0,  0,2147483647.0000000,2147483647.0000000,2147483647.0,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,        0,        0,   0,   0,  23.1,  23.1,  23.1
